test,user_id,real_rating,single_agent_rating,multi_agent_rating,elapsed_time
0,AGI42QBI7EYONADOCCWLHU5WKFZA,1,2.0,2.0,26.88
1,AFT2PADU5LYCMZXJABDGG2BWOT3Q,5,4.0,4.0,36.8
2,AEGNKFL47RKK73YQPMXH5YUMQJJA,5,4.0,4.0,34.23
3,AEUPX7KIWLGA65BJCGIZ6FMSJSFA,1,4.0,4.0,24.52
4,AEHQRBWRSJ2DRNGXOBS7XGKURF2A,5,4.0,4.0,28.38
5,AFQPLA72KKEQMFTZAW4X2Q3E6S7Q,1,4.0,4.0,28.14
6,AH5GSLESUQ64V4BK7HWJEE7CS5OA,5,4.0,4.0,37.85
7,AH7RRUE7LE63Y7MDI7VBU66RB7KQ,5,4.0,4.0,31.23
8,AEMQ7DWIAFHMQ676TXNTFTXXMLIA,5,4.0,4.0,19.54
9,AFLNCEE6UD6XLISG7CUERZES3CQA,1,4.0,4.0,33.72
10,AE322YSLI4IC427KMKSPEME6NXCA,5,4.0,4.0,32.53
11,AHMOGBZERTFZTOSICECEZ3KSVCVA,5,4.0,4.0,30.02
12,AE3LPXVBBBB37EVULIKZN2FTQMFA,1,4.0,4.0,26.36
13,AFDGK2CZDZRK2HYPJ6F5MQYUCEQQ,3,4.0,4.0,29.58
14,AFEFWYCNTA66QOTGX25MBIOIOTTQ,4,4.0,4.0,29.94
15,AGDLVRKEFBNASP7KHWUNFKHI6LUQ,5,4.0,4.0,23.75
16,AEYQFMFKUMUAQQLJD7ZCVQ7ZYTTQ,3,4.0,4.0,17.78
17,AFZKECWCVJIAMWHTRRJ3BRDBSB7A,5,4.0,4.0,23.11
18,AHSJLHJ5GTVEQJT6G53OO6TIJ3GA,3,4.0,4.0,29.23
19,AFUCTPTL3JZLJVPIC5XROKXQBLMA,5,4.0,4.0,22.32
